Afghanistan,1990,0.32,0.029921072,2.0,0.1870067,2.05,0.19168186
Africa,1997,309.06,0.40600356,736.11,0.9670074,763.64,1.0031728
Albania,2007,0.33,0.11088378,3.79,1.2734834,4.26,1.4314088
Algeria,2016,47.86,1.1864352,145.55,3.6081414,154.65,3.8337278
Andorra,2011,28,0.376488,0.49,6.941788,0.49,6.941788
